MOVIES NAME,RATINGS,GENRE,PLOT,release_year,POSTER_URL,DIRECTOR,STARS,MOVIES_ID
 Beauty and the Beast.mp4,7.3,"Family,Fantasy,Musical",An adaptation of the fairy tale about a monstrous-looking prince and a young woman who fall in love.,2017,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTUwNjUxMTM4NV5BMl5BanBnXkFtZTgwODExMDQzMTI@._V1_UX182_CR0,0,182,268_AL_.jpg",Bill Condon,"Emma Watson, Dan Stevens, Luke Evans, Josh Gad",0
10 Cloverfield Lane.mp4,7.2,"Drama,Horror,Mystery","After getting in a car accident, a woman is held in a shelter with two men, who claim the outside world is affected by a widespread chemical attack.",2016,"https://images-na.ssl-images-amazon.com/images/M/MV5BMjEzMjczOTIxMV5BMl5BanBnXkFtZTgwOTUwMjI3NzE@._V1_UX182_CR0,0,182,268_AL_.jpg",Dan Trachtenberg,"John Goodman, Mary Elizabeth Winstead, John Gallagher Jr., Douglas M",2
12 Angry Men.mp4,8.9,"Crime,Drama",A jury holdout attempts to prevent a miscarriage of justice by forcing his colleagues to reconsider the evidence.,1957,"https://images-na.ssl-images-amazon.com/images/M/MV5BMWU4N2FjNzYtNTVkNC00NzQ0LTg0MjAtYTJlMjFhNGUxZDFmXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_UX182_CR0,0,182,268_AL_.jpg",Sidney Lumet,"Henry Fonda, Lee J",3
A Cure for Wellness.mp4,6.4,"Drama,Fantasy,Horror","An ambitious young executive is sent to retrieve his company's CEO from an idyllic but mysterious &quot;wellness center&quot; at a remote location in the Swiss Alps, but soon suspects that the spa's treatments are not what they seem.",2016,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTg5Njg1MzIwNl5BMl5BanBnXkFtZTgwNDU1NjczMDI@._V1_UX182_CR0,0,182,268_AL_.jpg",Gore Verbinski,"Dane DeHaan, Jason Isaacs, Mia Goth, Ivo Nandi",4
Assassin's Creed.mp4,5.9,"Action,Adventure,Fantasy","Callum Lynch explores the memories of his ancestor Aguilar de Nerha and gains the skills of a Master Assassin, before taking on the secret Templar society.",2016,"https://images-na.ssl-images-amazon.com/images/M/MV5BNzE1OTczNTc1OF5BMl5BanBnXkFtZTgwMzgyMDI3MDI@._V1_UX182_CR0,0,182,268_AL_.jpg",Justin Kurzel,"Michael Fassbender, Marion Cotillard, Jeremy Irons, Brendan Gleeson",5
Back to the Future.mp4,8.5,"Adventure,Comedy,Sci-Fi","Marty McFly, a 17-year-old high school student, is accidentally sent 30 years into the past in a time-traveling DeLorean invented by his close friend, the maverick scientist Doc Brown.",1985,"https://images-na.ssl-images-amazon.com/images/M/MV5BZmU0M2Y1OGUtZjIxNi00ZjBkLTg1MjgtOWIyNThiZWIwYjRiXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX182_CR0,0,182,268_AL_.jpg",Robert Zemeckis,Michael J,6
Batman v Superman Dawn of Justice.mp4,6.6,"Action,Adventure,Sci-Fi","Fearing that the actions of Superman are left unchecked, Batman takes on the Man of Steel, while the world wrestles with what kind of a hero it really needs.",2016,"https://images-na.ssl-images-amazon.com/images/M/MV5BYThjYzcyYzItNTVjNy00NDk0LTgwMWQtYjMwNmNlNWJhMzMyXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX182_CR0,0,182,268_AL_.jpg",Zack Snyder,"Ben Affleck, Henry Cavill, Amy Adams, Jesse Eisenberg",7
Blade Runner.mp4,8.2,"Sci-Fi,Thriller",A blade runner must pursue and try to terminate four replicants who stole a ship in space and have returned to Earth to find their creator.,1982,"https://images-na.ssl-images-amazon.com/images/M/MV5BNzQzMzJhZTEtOWM4NS00MTdhLTg0YjgtMjM4MDRkZjUwZDBlXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_UX182_CR0,0,182,268_AL_.jpg",Ridley Scott,"Harrison Ford, Rutger Hauer, Sean Young, Edward James Olmos",8
Boo! A Madea Halloween.mp4,4.6,"Comedy,Horror","Madea winds up in the middle of mayhem when she spends a haunted Halloween fending off killers, paranormal poltergeists, ghosts, ghouls and zombies while keeping a watchful eye on a group of misbehaving teens.",2016,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTUxNTE2MTM0NF5BMl5BanBnXkFtZTgwNjE5MTIxMDI@._V1_UX182_CR0,0,182,268_AL_.jpg",Tyler Perry,"Tyler Perry, Cassi Davis, Patrice Lovely, Yousef Erakat",9
City Lights.mp4,8.6,"Comedy,Drama,Romance","With the aid of a wealthy erratic tippler, a dewy-eyed tramp who has fallen in love with a sightless flower girl accumulates money to be able to help her medically.",1931,"https://images-na.ssl-images-amazon.com/images/M/MV5BZDRjMmI3ZjgtMGE3Mi00NjY5LTg0NWMtMmU3YzgyMjhmMjIzL2ltYWdlXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_UX182_CR0,0,182,268_AL_.jpg",Charles Chaplin,"Charles Chaplin, Virginia Cherrill, Florence Lee, Harry Myers",10
